1991,,,,,,,,
Date,Rank,Weekly Gross,%,Theaters,Change,Avg.,Gross-to-Date,Week
Nov 15Ð21,13,293373,-,2,-,146687,293373,1
Nov 22Ð28,3,13943192,46.53,977,975,14271,14236565,2
Nov 29ÐDec 5,3,13906479,-0.003,1118,141,12439,28143044,3
Dec 6Ð12,4,7248934,-0.479,1118,-,6484,35391978,4
Dec 13Ð19,5,5791845,-0.201,1123,5,5157,41183823,5
Dec 20Ð26,3,11836504,1.04,1925,802,6149,53020327,6
Dec 27ÐJan 2,3,20645736,0.744,1940,15,10642,73666063,7
Jan 3Ð9,4,10411680,-0.496,1940,-,5367,84077743,8
Jan 10Ð16,7,5887508,-0.435,1960,20,3004,89965251,9
Jan 17Ð23,9,6013520,0.021,1805,-155,3332,95978771,10
Jan 24Ð30,8,4190479,-0.303,1761,-44,2380,100169250,11
Jan 31ÐFeb 6,7,3949286,-0.058,1648,-113,2396,104118536,12
Feb 7Ð13,9,2899622,-0.266,1580,-68,1835,107018158,13
Feb 14Ð20,7,3891979,0.342,1500,-80,2595,110910137,14
Feb 21Ð27,7,2994311,-0.231,1360,-140,2202,113904448,15
Feb 28ÐMar 5,8,2653483,-0.114,1346,-14,1971,116557931,16
Mar 6Ð12,10,2379423,-0.103,1253,-93,1899,118937354,17
Mar 13Ð19,12,2284608,-0.04,1171,-82,1951,121221962,18
Mar 20Ð26,7,2311201,0.012,1157,-14,1998,123533163,19
Mar 27ÐApr 2,9,2637218,0.141,1157,-,2279,126170381,20
Apr 3Ð9,11,2488668,-0.056,1119,-38,2224,128659049,21
May 29ÐJun 4,7,1841448,-,1003,-72,1836,137902032,25
Jun 5Ð11,9,1472768,-0.2,901,-102,1635,139374800,27
