,Rank,Title,Studio,Total Gross,Theaters,Opening,Opening Theaters,Year,link,Actors
0,1,The Empire Strikes Back,Fox,"$209,398,025","1,278","$4,910,483",126,1980,/movies/?id=starwars5.htm,Kenny BakerAnthony DanielsPeter MayhewBilly Dee WilliamsMark HamillHarrison FordCarrie Fisher
1,2,9 to 5,Fox,"$103,290,500",N/A,"$3,966,832",910,1980,/movies/?id=9to5.htm,Lily Tomlin
2,3,Stir Crazy,Col.,"$101,300,000",N/A,"$8,691,886",813,1980,/movies/?id=stircrazy.htm,Craig T. Nelson*
3,4,Airplane!,Par.,"$83,453,539",N/A,N/A,N/A,1980,/movies/?id=airplane.htm,Leslie Nielsen
4,5,Any Which Way You Can,WB,"$70,687,344",N/A,"$8,024,663","1,541",1980,/movies/?id=anywhichwayyoucan.htm,Clint Eastwood
5,1,Raiders of the Lost Ark,Par.,"$212,222,025","1,078","$8,305,823","1,078",1981,/movies/?id=raidersofthelostark.htm,Harrison FordAlfred Molina*
6,2,On Golden Pond,Uni.,"$119,285,432","1,015","$89,213",2,1981,/movies/?id=ongoldenpond.htm,Katharine HepburnHenry FondaJane FondaDoug McKeonDabney Coleman
7,3,Superman II,WB,"$108,185,706","1,878","$14,100,523","1,397",1981,/movies/?id=superman2.htm,Christopher Reeve
8,4,Arthur,WB,"$95,461,682",701,"$2,719,534",701,1981,/movies/?id=arthur.htm,ERROR FOR: Arthur
9,5,Stripes,Col.,"$85,297,000",N/A,"$6,130,197","1,074",1981,/movies/?id=stripes.htm,Bill Murray
10,1,E.T.: The Extra-Terrestrial,Uni.,"$359,197,037","1,778","$11,835,389","1,103",1982,/movies/?id=et.htm,Drew Barrymore
11,2,Tootsie,Col.,"$177,200,000","1,222","$5,540,470",943,1982,/movies/?id=tootsie.htm,Dustin HoffmanJessica LangeBill MurraySydney Pollack
12,3,An Officer and a Gentleman,Par.,"$129,795,554","1,050","$3,304,679",346,1982,/movies/?id=officerandagentleman.htm,Richard Gere
13,4,Rocky III,UA,"$124,146,897","1,317","$12,431,486",939,1982,/movies/?id=rocky3.htm,Sylvester Stallone
14,5,Porky's,Fox,"$105,492,483","1,605","$7,623,988","1,148",1982,/movies/?id=porkys.htm,ERROR FOR: Porky's
15,1,Return of the Jedi,Fox,"$252,583,617","1,764","$23,019,618","1,002",1983,/movies/?id=starwars6.htm,Tony Cox*Mark HamillHarrison FordCarrie FisherBilly Dee WilliamsAnthony DanielsPeter MayhewIan McDiarmidFrank Oz* (Voice)James Earl Jones* (Voice)Alec Guinness*Kenny Baker
16,2,Terms of Endearment,Par.,"$108,423,489","1,259","$3,498,813",260,1983,/movies/?id=termsofendearment.htm,Jack NicholsonDanny DeVitoAlbert Brooks* (Voice)
17,3,Flashdance,Par.,"$92,921,203","1,140","$4,076,124","1,140",1983,/movies/?id=flashdance.htm,ERROR FOR: Flashdance
18,4,Trading Places,Par.,"$90,404,800","1,389","$7,348,200","1,375",1983,/movies/?id=tradingplaces.htm,Jamie Lee CurtisEddie Murphy
19,5,WarGames,MGM,"$79,567,667",977,"$6,227,804",843,1983,/movies/?id=wargames.htm,Matthew Broderick
20,1,Beverly Hills Cop,Par.,"$234,760,478","2,006","$15,214,805","1,532",1984,/movies/?id=beverlyhillscop.htm,Eddie MurphyDamon Wayans*
21,2,Ghostbusters,Col.,"$229,242,989","1,506","$13,578,151","1,339",1984,/movies/?id=ghostbusters.htm,Bill MurraySigourney Weaver
22,3,Indiana Jones and the Temple of Doom,Par.,"$179,870,271","1,687","$25,337,110","1,687",1984,/movies/?id=indianajonesandthetempleofdoom.htm,Harrison Ford
23,4,Gremlins,WB,"$148,168,459","1,537","$12,511,634","1,511",1984,/movies/?id=gremlins.htm,ERROR FOR: Gremlins
24,5,The Karate Kid,Col.,"$90,815,558","1,111","$5,031,753",931,1984,/movies/?id=karatekid.htm,ERROR FOR: The Karate Kid
25,1,Back to the Future,Uni.,"$210,609,762","1,550","$11,152,500","1,420",1985,/movies/?id=backtothefuture.htm,ERROR FOR: Back to the Future
